id,post_id,parent_comment_id,Comment,sender_id,user_id,status,action,type,created_at,updated_at
63,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
64,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
65,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
66,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
67,NULL,NULL,NULL,2271,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
68,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
69,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
70,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
71,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
72,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:38,8/27/2019 9:38
73,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:39,8/27/2019 9:39
74,NULL,NULL,NULL,2271,6,0,Followed,Following,8/27/2019 9:39,8/27/2019 9:39
75,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:39,8/27/2019 9:39
76,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:39,8/27/2019 9:39
77,NULL,NULL,NULL,2234,6,0,Followed,Following,8/27/2019 9:39,8/27/2019 9:39
78,NULL,NULL,NULL,1276,6,0,Followed,Following,8/27/2019 9:40,8/27/2019 9:40
79,NULL,NULL,NULL,1886,6,0,Followed,Following,8/27/2019 9:41,8/27/2019 9:41
80,371,NULL,Good to see the comment section,352,3,1,Commented,Post,8/27/2019 9:43,8/27/2019 11:15
81,NULL,NULL,NULL,326,6,0,Followed,Following,8/27/2019 9:44,8/27/2019 9:44
82,NULL,NULL,NULL,432,6,0,Followed,Following,8/27/2019 9:44,8/27/2019 9:44
83,NULL,NULL,NULL,1030,6,0,Followed,Following,8/27/2019 9:45,8/27/2019 9:45
84,NULL,NULL,NULL,410,6,0,Followed,Following,8/27/2019 9:46,8/27/2019 9:46
85,NULL,NULL,NULL,447,6,0,Followed,Following,8/27/2019 9:48,8/27/2019 9:48
86,NULL,NULL,NULL,1255,6,0,Followed,Following,8/27/2019 9:49,8/27/2019 9:49
87,NULL,NULL,NULL,619,6,0,Followed,Following,8/27/2019 9:53,8/27/2019 9:53
88,NULL,NULL,NULL,630,6,0,Followed,Following,8/27/2019 9:54,8/27/2019 9:54
89,NULL,NULL,NULL,1947,6,0,Followed,Following,8/27/2019 9:55,8/27/2019 9:55
90,NULL,NULL,NULL,1947,6,0,Followed,Following,8/27/2019 9:55,8/27/2019 9:55
91,NULL,NULL,NULL,1947,6,0,Followed,Following,8/27/2019 9:55,8/27/2019 9:55
92,NULL,NULL,NULL,1947,6,0,Followed,Following,8/27/2019 9:55,8/27/2019 9:55
93,NULL,NULL,NULL,1947,6,0,Followed,Following,8/27/2019 9:55,8/27/2019 9:55
94,NULL,NULL,NULL,1947,6,0,Followed,Following,8/27/2019 9:55,8/27/2019 9:55
95,NULL,NULL,NULL,1947,6,0,Followed,Following,8/27/2019 9:55,8/27/2019 9:55
96,NULL,NULL,NULL,175,6,0,Followed,Following,8/27/2019 9:56,8/27/2019 9:56
97,NULL,NULL,NULL,673,6,0,Followed,Following,8/27/2019 9:56,8/27/2019 9:56
98,NULL,NULL,NULL,904,6,0,Followed,Following,8/27/2019 9:57,8/27/2019 9:57
99,NULL,NULL,NULL,904,6,0,Followed,Following,8/27/2019 9:57,8/27/2019 9:57
100,NULL,NULL,NULL,1862,6,0,Followed,Following,8/27/2019 10:01,8/27/2019 10:01
101,NULL,NULL,NULL,1805,6,0,Followed,Following,8/27/2019 10:01,8/27/2019 10:01
102,NULL,NULL,NULL,380,6,0,Followed,Following,8/27/2019 10:08,8/27/2019 10:08
103,NULL,NULL,NULL,718,6,0,Followed,Following,8/27/2019 10:08,8/27/2019 10:08
104,NULL,NULL,NULL,265,6,0,Followed,Following,8/27/2019 10:10,8/27/2019 10:10
105,NULL,NULL,NULL,1985,6,0,Followed,Following,8/27/2019 10:11,8/27/2019 10:11
106,NULL,NULL,NULL,902,6,0,Followed,Following,8/27/2019 10:13,8/27/2019 10:13
107,NULL,NULL,NULL,1591,6,0,Followed,Following,8/27/2019 10:13,8/27/2019 10:13
108,NULL,NULL,NULL,711,6,0,Followed,Following,8/27/2019 10:19,8/27/2019 10:19
109,NULL,NULL,NULL,1550,6,0,Followed,Following,8/27/2019 10:20,8/27/2019 10:20
110,NULL,NULL,NULL,895,6,0,Followed,Following,8/27/2019 10:20,8/27/2019 10:20
111,NULL,NULL,NULL,1017,6,0,Followed,Following,8/27/2019 10:23,8/27/2019 10:23
112,NULL,NULL,NULL,867,6,0,Followed,Following,8/27/2019 10:42,8/27/2019 10:42
113,NULL,NULL,NULL,2277,6,0,Followed,Following,8/27/2019 10:43,8/27/2019 10:43
114,NULL,NULL,NULL,1212,6,0,Followed,Following,8/27/2019 10:43,8/27/2019 10:43
115,NULL,NULL,NULL,475,6,0,Followed,Following,8/27/2019 10:49,8/27/2019 10:49
116,NULL,NULL,NULL,475,6,0,Followed,Following,8/27/2019 10:49,8/27/2019 10:49
117,NULL,NULL,NULL,327,6,0,Followed,Following,8/27/2019 10:52,8/27/2019 10:52
118,NULL,NULL,NULL,955,6,0,Followed,Following,8/27/2019 10:53,8/27/2019 10:53
119,375,NULL,Great,352,3,1,Commented,Post,8/27/2019 10:54,8/27/2019 11:15
120,NULL,NULL,NULL,352,6,0,Followed,Following,8/27/2019 11:00,8/27/2019 11:00
121,NULL,NULL,NULL,352,7,0,Followed,Following,8/27/2019 11:03,8/27/2019 11:03
122,NULL,NULL,NULL,1836,6,0,Followed,Following,8/27/2019 11:15,8/27/2019 11:15
123,NULL,NULL,NULL,653,6,0,Followed,Following,8/27/2019 11:16,8/27/2019 11:16
124,NULL,NULL,NULL,329,6,0,Followed,Following,8/27/2019 11:16,8/27/2019 11:16
125,NULL,NULL,NULL,891,6,0,Followed,Following,8/27/2019 11:40,8/27/2019 11:40
126,NULL,NULL,NULL,945,6,0,Followed,Following,8/27/2019 11:52,8/27/2019 11:52
127,NULL,NULL,NULL,168,6,0,Followed,Following,8/27/2019 11:57,8/27/2019 11:57
128,NULL,NULL,NULL,143,6,0,Followed,Following,8/27/2019 12:48,8/27/2019 12:48
129,NULL,NULL,NULL,361,6,0,Followed,Following,8/27/2019 13:03,8/27/2019 13:03
130,NULL,NULL,NULL,361,6,0,Followed,Following,8/27/2019 13:03,8/27/2019 13:03
131,NULL,NULL,NULL,2287,6,0,Followed,Following,8/27/2019 13:22,8/27/2019 13:22
132,439,NULL,Congrats,4,6,0,Commented,Post,8/27/2019 13:23,8/27/2019 13:23
133,NULL,NULL,NULL,47,535,0,Followed,Following,8/27/2019 13:30,8/27/2019 13:30
134,439,NULL,Congratulations are in order. It's great to be working with you on these,3,6,0,Commented,Post,8/27/2019 13:31,8/27/2019 13:31
135,NULL,NULL,NULL,1101,326,0,Followed,Following,8/27/2019 14:00,8/27/2019 14:00
136,NULL,NULL,NULL,1199,6,0,Followed,Following,8/27/2019 14:09,8/27/2019 14:09
137,NULL,NULL,NULL,1439,1047,0,Followed,Following,8/27/2019 14:10,8/27/2019 14:10
138,NULL,NULL,NULL,1439,1926,0,Followed,Following,8/27/2019 14:11,8/27/2019 14:11
139,NULL,NULL,NULL,2282,6,0,Followed,Following,8/27/2019 15:15,8/27/2019 15:15
140,NULL,NULL,NULL,2282,6,0,Followed,Following,8/27/2019 15:15,8/27/2019 15:15
141,NULL,NULL,NULL,2228,326,0,Followed,Following,8/27/2019 15:55,8/27/2019 15:55
142,NULL,NULL,NULL,24,7,0,Followed,Following,8/27/2019 15:56,8/27/2019 15:56
143,NULL,NULL,NULL,916,6,0,Followed,Following,8/27/2019 16:19,8/27/2019 16:19
144,360,8,yh,4,3,1,Replied,Post,8/27/2019 16:32,8/29/2019 13:40
145,NULL,NULL,NULL,4,29,1,Followed,Following,8/28/2019 18:21,8/28/2019 18:25
146,NULL,NULL,NULL,29,4,1,Followed,Following,8/28/2019 18:23,9/5/2019 17:20
148,986,NULL,NULL,4,2,1,Like,Reaction,8/30/2019 11:26,8/31/2019 19:01
149,986,NULL,NULL,4,2,1,Love,Reaction,8/30/2019 11:27,8/31/2019 19:01
150,985,NULL,NULL,4,2,1,Love,Reaction,8/30/2019 11:27,8/31/2019 19:01
151,985,NULL,NULL,1,2,1,Love,Reaction,8/30/2019 11:29,8/31/2019 19:01
152,992,NULL,NULL,2,2,1,Like,Reaction,8/31/2019 13:04,8/31/2019 19:01
154,355,NULL,NULL,1,7,0,Like,Reaction,8/31/2019 18:21,8/31/2019 18:21
155,353,NULL,NULL,1,7,0,Love,Reaction,8/31/2019 18:21,8/31/2019 18:21
156,355,154,Nice,1,1,1,Replied,Post,8/31/2019 18:21,9/7/2019 15:44
157,996,NULL,NULL,1,1,1,Like,Reaction,8/31/2019 18:44,9/7/2019 15:44
158,992,NULL,NULL,9,2,1,Love,Reaction,8/31/2019 18:56,8/31/2019 19:01
159,992,NULL,NULL,9,2,1,Love,Reaction,8/31/2019 18:56,8/31/2019 19:01
160,992,NULL,NULL,9,2,1,Like,Reaction,8/31/2019 18:56,8/31/2019 19:01
161,992,NULL,"Comments just spilled out here, nobody typed",9,2,1,Commented,Post,8/31/2019 18:56,8/31/2019 19:01
162,992,NULL,NULL,2,2,1,Love,Reaction,8/31/2019 19:02,9/2/2019 5:42
163,992,NULL,that true,2,2,1,Commented,Post,8/31/2019 19:03,9/2/2019 5:42
164,NULL,NULL,NULL,34,2,1,Followed,Following,8/31/2019 21:06,9/2/2019 5:42
171,993,NULL,NULL,34,2,1,Love,Reaction,9/1/2019 14:33,9/2/2019 5:42
172,993,NULL,NULL,34,2,1,Like,Reaction,9/1/2019 14:33,9/2/2019 5:42
