1,1,4
1,2,4
1,4,13
1,7,5
2,2,19
3,1,9
3,2,8
3,3,11
3,6,2
3,7,2
3,45,5
3,363,5
4,2,19
4,3,6
4,4,3
4,6,2
4,7,7
4,29,5
6,3,4
9,2,12
9,3,2
22,22,5
24,7,5
29,4,5
34,2,10
47,6,5
47,535,5
129,6,5
143,6,5
168,6,5
175,6,5
192,6,5
242,6,5
265,6,5
326,6,5
327,6,5
329,6,5
352,3,4
352,6,5
352,7,5
361,6,10
377,6,5
380,6,5
410,6,5
432,6,5
439,2218,10
447,6,5
475,6,10
489,3,2
492,6,5
550,3,2
550,6,5
612,6,5
619,6,5
620,6,5
630,6,5
653,6,5
669,458,15
673,6,5
698,6,5
710,6,5
711,6,5
718,6,5
834,856,5
847,6,5
867,6,5
868,6,5
891,6,5
895,6,5
902,6,5
904,6,10
916,6,5
945,6,5
955,6,5
1010,6,5
1017,6,5
1030,6,5
1043,11,5
1051,6,5
1098,6,5
1101,326,5
1199,6,5
1212,6,5
1239,6,5
1255,6,5
1276,6,5
1318,6,5
1340,6,7
1340,101,5
1340,738,5
1439,1047,5
1439,1926,5
1550,6,5
1591,6,5
1731,6,5
1801,922,5
1805,6,5
1825,6,5
1836,6,5
1862,6,5
1864,118,5
1864,1147,5
1886,6,5
1947,6,35
1985,6,5
2191,2191,2
2228,326,5
2234,6,115
2240,59,5
2245,6,5
2271,6,10
2277,6,5
2282,6,10
2287,6,5
